adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
-884,-51652,PACE SELECT ADVISORS TRUST,2022-06-29,-884,-51652,AOS
-950,-66814,Series Portfolios Trust,2021-09-28,-950,-66814,AOS
-2539,-162217,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,-2539,-162217,AOS
-6104,-260580,ALGER FUNDS II,2020-03-30,-6104,-260580,AOS
-11846,-1016979,Weiss Strategic Interval Fund,2022-02-22,-11846,-1016979,AOS
-17309,-1230151,"RBB FUND, INC.",2021-07-27,-17309,-1230151,AOS
-33000,-2521860,NEUBERGER BERMAN ALTERNATIVE FUNDS,2022-03-30,-33000,-2521860,AOS
-264503,-11291633,ALGER FUNDS II,2020-03-30,-264503,-11291633,AOS
3782953,241692867,VANGUARD INDEX FUNDS,2022-05-31,3782953,241692867,AOS
3295158,210527645,VANGUARD INDEX FUNDS,2022-05-31,3295158,210527645,AOS
2875363,183706942,VANGUARD INDEX FUNDS,2022-05-31,2875363,183706942,AOS
1988122,127021115,VANGUARD INDEX FUNDS,2022-05-31,1988122,127021115,AOS
1933896,132626588,PROSHARES TRUST,2022-04-28,1933896,132626588,AOS
1710838,109305440,IVY FUNDS,2022-05-20,1710838,109305440,AOS
1444919,92315875,SPDR SP 500 ETF TRUST,2022-05-27,1444919,92315875,AOS
1426926,91166302,SPDR SERIES TRUST,2022-05-27,1426926,91166302,AOS
1023920,50868346,CARILLON SERIES TRUST,2019-12-20,1023920,50868346,AOS
985501,62963659,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,985501,62963659,AOS
898595,57411235,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,898595,57411235,AOS
815401,47643880,VANGUARD SPECIALIZED FUNDS,2022-06-29,815401,47643880,AOS
748412,47816043,SPDR SERIES TRUST,2022-05-27,748412,47816043,AOS
728141,31084339,AB LARGE CAP GROWTH FUND INC,2020-03-09,728141,31084339,AOS
704508,45011016,SELECT SECTOR SPDR TRUST,2022-05-27,704508,45011016,AOS
669779,42792180,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,669779,42792180,AOS
589055,34418484,OLD WESTBURY FUNDS INC,2022-06-29,589055,34418484,AOS
541246,20464511,BAIRD FUNDS INC,2020-05-27,541246,20464511,AOS
443042,30016096,LORD ABBETT SECURITIES TRUST,2021-06-28,443042,30016096,AOS
439052,25653808,iSHARES TRUST,2022-06-27,439052,25653808,AOS
322054,21774071,LORD ABBETT MID CAP STOCK FUND INC,2021-05-26,322054,21774071,AOS
317628,21782928,SCHWAB STRATEGIC TRUST,2022-04-25,317628,21782928,AOS
317329,18541533,FIDELITY SALEM STREET TRUST,2022-06-24,317329,18541533,AOS
303142,17712587,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,303142,17712587,AOS
286334,18293879,VANGUARD QUANTITATIVE FUNDS,2022-05-31,286334,18293879,AOS
259182,15144004,SCHWAB CAPITAL TRUST,2022-06-24,259182,15144004,AOS
256706,14999332,FIDELITY SALEM STREET TRUST,2022-06-24,256706,14999332,AOS
238791,15256357,PACIFIC SELECT FUND,2022-05-27,238791,15256357,AOS
237434,13873269,SCHWAB CAPITAL TRUST,2022-06-24,237434,13873269,AOS
213844,12494905,OLD WESTBURY FUNDS INC,2022-06-29,213844,12494905,AOS
212406,12410883,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,212406,12410883,AOS
206178,14139687,Fidelity Rutland Square Trust II,2022-04-27,206178,14139687,AOS
202336,11092060,EATON VANCE SPECIAL INVESTMENT TRUST,2021-02-16,202336,11092060,AOS
197850,12640637,"NICHOLAS II, INC",2022-05-27,197850,12640637,AOS
197826,11558973,"PRINCIPAL FUNDS, INC.",2022-06-24,197826,11558973,AOS
180000,10135800,FIDELITY PURITAN TRUST,2021-01-20,180000,10135800,AOS
169998,11658463,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUST),2022-04-29,169998,11658463,AOS
165069,11320432,VANGUARD WORLD FUND,2022-04-29,165069,11320432,AOS
152551,8913555,iSHARES TRUST,2022-06-27,152551,8913555,AOS
151801,8869732,BBH Trust,2022-06-28,151801,8869732,AOS
147140,10700021,FIDELITY SELECT PORTFOLIOS,2021-10-26,147140,10700021,AOS
143168,9818461,Brinker Capital Destinations Trust,2022-04-28,143168,9818461,AOS
143000,12276550,FMI FUNDS INC,2022-02-15,143000,12276550,AOS
138704,8104475,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,138704,8104475,AOS
137718,8798803,Ivy Variable Insurance Portfolios,2022-05-27,137718,8798803,AOS
136735,9377286,Fidelity Commonwealth Trust II,2022-04-27,136735,9377286,AOS
134323,8581896,FIRST TRUST EXCHANGE-TRADED FUND VI,2022-05-26,134323,8581896,AOS
130909,6168432,Eaton Vance Enhanced Equity Income Fund II,2020-08-24,130909,6168432,AOS
130308,4926945,Allianz Funds Multi-Strategy Trust,2020-05-12,130308,4926945,AOS
127035,6898001,EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND,2021-03-31,127035,6898001,AOS
125434,8013978,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,125434,8013978,AOS
125244,8001839,Bridge Builder Trust,2022-05-31,125244,8001839,AOS
122348,6889416,NEUBERGER BERMAN EQUITY FUNDS,2021-01-28,122348,6889416,AOS
118251,6909406,FIRST TRUST EXCHANGE-TRADED FUND IV,2022-06-23,118251,6909406,AOS
116476,6805693,Invesco Exchange-Traded Fund Trust II,2022-06-27,116476,6805693,AOS
112500,7187625,BOSTON TRUST WALDEN FUNDS,2022-05-25,112500,7187625,AOS
112155,7165583,MASTER INVESTMENT PORTFOLIO,2022-05-26,112155,7165583,AOS
112007,9615801,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,112007,9615801,AOS
111380,5306143,MARSICO INVESTMENT FUND,2020-02-27,111380,5306143,AOS
110796,4695534,First Trust Exchange-Traded Fund III,2020-06-22,110796,4695534,AOS
108438,6336032,FLEXSHARES TRUST,2022-06-28,108438,6336032,AOS
108135,7415898,SCHWAB STRATEGIC TRUST,2022-04-25,108135,7415898,AOS
105383,6732920,"T. Rowe Price Index Trust, Inc.",2022-05-27,105383,6732920,AOS
103165,4861135,VANGUARD MALVERN FUNDS,2020-09-22,103165,4861135,AOS
102676,5999359,TIAA-CREF FUNDS,2022-06-28,102676,5999359,AOS
100490,4289918,Tax-Managed Value Portfolio,2020-03-31,100490,4289918,AOS
100281,6406953,VANGUARD VALLEY FORGE FUNDS,2022-05-31,100281,6406953,AOS
96636,7061193,Investment Managers Series Trust,2021-12-29,96636,7061193,AOS
95458,6098812,WisdomTree Trust,2022-05-17,95458,6098812,AOS
91769,5362063,Dimensional ETF Trust,2022-06-27,91769,5362063,AOS
90600,5293758,FIDELITY SECURITIES FUND,2022-06-24,90600,5293758,AOS
88706,5667426,"NICHOLAS Ltd EDITION, INC.",2022-05-27,88706,5667426,AOS
88702,5667171,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,88702,5667171,AOS
80308,4692396,RUSSELL INVESTMENT CO,2022-06-29,80308,4692396,AOS
80000,5111200,SCHWARTZ INVESTMENT TRUST,2022-05-24,80000,5111200,AOS
77873,3813441,EATON VANCE GROWTH TRUST,2020-10-20,77873,3813441,AOS
76870,5197181,"BlackRock Utilities, Infrastructure  Power Opportunities Trust",2021-05-27,76870,5197181,AOS
75438,5173538,Fidelity Rutland Square Trust II,2022-04-27,75438,5173538,AOS
74982,3671869,EATON VANCE GROWTH TRUST,2020-10-20,74982,3671869,AOS
71127,4544304,MASTER INVESTMENT PORTFOLIO,2022-05-26,71127,4544304,AOS
70378,3858122,HARTFORD SERIES FUND INC,2021-02-24,70378,3858122,AOS
68952,4405343,HEARTLAND GROUP INC,2022-05-03,68952,4405343,AOS
67738,5815307,FIRST TRUST VARIABLE INSURANCE TRUST,2022-02-22,67738,5815307,AOS
67437,3940344,BlackRock ETF Trust,2022-06-27,67437,3940344,AOS
66682,4573052,SCHWAB STRATEGIC TRUST,2022-04-25,66682,4573052,AOS
66416,4243318,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,66416,4243318,AOS
66200,4655846,FIDELITY CAPITAL TRUST,2021-09-24,66200,4655846,AOS
64790,3785680,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,64790,3785680,AOS
62898,4252534,LORD ABBETT SERIES FUND INC,2021-05-26,62898,4252534,AOS
60841,4172476,SCHWAB STRATEGIC TRUST,2022-04-25,60841,4172476,AOS
60776,3551142,VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,2022-06-29,60776,3551142,AOS
59507,4080990,VANGUARD SCOTTSDALE FUNDS,2022-04-29,59507,4080990,AOS
56914,3325485,John Hancock Exchange-Traded Fund Trust,2022-06-28,56914,3325485,AOS
53846,3440221,WisdomTree Trust,2022-05-17,53846,3440221,AOS
52706,3079612,TIAA-CREF FUNDS,2022-06-28,52706,3079612,AOS
52388,3061031,SCHWAB CAPITAL TRUST,2022-06-24,52388,3061031,AOS
52033,3568423,ALLSPRING MASTER TRUST,2022-04-29,52033,3568423,AOS
51223,2440264,Guardian Variable Products Trust,2020-02-12,51223,2440264,AOS
50929,3253854,SPDR SERIES TRUST,2022-05-27,50929,3253854,AOS
50646,4347959,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,50646,4347959,AOS
50594,3232451,GREAT-WEST FUNDS INC,2022-05-20,50594,3232451,AOS
50455,3223570,SPDR SERIES TRUST,2022-05-27,50455,3223570,AOS
49485,3161597,Six Circles Trust,2022-05-31,49485,3161597,AOS
49462,4246313,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,49462,4246313,AOS
49242,2383313,AMERICAN CENTURY WORLD MUTUAL FUNDS INC,2020-01-23,49242,2383313,AOS
48945,3127096,SPDR SERIES TRUST,2022-05-27,48945,3127096,AOS
47150,3012414,OSI ETF Trust,2022-05-11,47150,3012414,AOS
43789,2797679,NORTHERN FUNDS,2022-05-24,43789,2797679,AOS
43589,2546905,FIDELITY SALEM STREET TRUST,2022-06-24,43589,2546905,AOS
43543,2781962,JNL SERIES TRUST,2022-05-25,43543,2781962,AOS
42805,2501096,GOLDMAN SACHS TRUST,2022-06-24,42805,2501096,AOS
42351,2474569,SCHWAB INVESTMENTS,2022-06-24,42351,2474569,AOS
41653,2661210,VARIABLE INSURANCE PRODUCTS FUND II,2022-05-25,41653,2661210,AOS
